team,season,as_of_date,relief_pitches_1d,relief_pitches_3d,relievers_used_1d,relievers_used_3d,back_to_back_relievers,bullpen_status,source,last_updated
ATH,2026,2026-07-10,129,276,4,9,0,taxed,Baseball Savant Statcast pitch logs; first pitcher per team/game treated as starter,2026-07-10T17:30:45+00:00
ATL,2026,2026-07-10,88,225,5,10,1,taxed,Baseball Savant Statcast pitch logs; first pitcher per team/game treated as starter,2026-07-10T17:30:45+00:00
AZ,2026,2026-07-10,26,114,2,7,0,normal,Baseball Savant Statcast pitch logs; first pitcher per team/game treated as starter,2026-07-10T17:30:45+00:00
BAL,2026,2026-07-10,47,170,3,8,1,taxed,Baseball Savant Statcast pitch logs; first pitcher per team/game treated as starter,2026-07-10T17:30:45+00:00
BOS,2026,2026-07-10,53,126,4,8,0,taxed,Baseball Savant Statcast pitch logs; first pitcher per team/game treated as starter,2026-07-10T17:30:45+00:00
CHC,2026,2026-07-10,56,170,4,7,1,taxed,Baseball Savant Statcast pitch logs; first pitcher per team/game treated as starter,2026-07-10T17:30:45+00:00
CIN,2026,2026-07-10,26,171,2,7,0,taxed,Baseball Savant Statcast pitch logs; first pitcher per team/game treated as starter,2026-07-10T17:30:45+00:00
CLE,2026,2026-07-10,23,182,2,8,2,taxed,Baseball Savant Statcast pitch logs; first pitcher per team/game treated as starter,2026-07-10T17:30:45+00:00
COL,2026,2026-07-10,87,173,2,6,0,taxed,Baseball Savant Statcast pitch logs; first pitcher per team/game treated as starter,2026-07-10T17:30:45+00:00
CWS,2026,2026-07-10,43,237,3,8,0,taxed,Baseball Savant Statcast pitch logs; first pitcher per team/game treated as starter,2026-07-10T17:30:45+00:00
DET,2026,2026-07-10,29,150,2,7,0,taxed,Baseball Savant Statcast pitch logs; first pitcher per team/game treated as starter,2026-07-10T17:30:45+00:00
HOU,2026,2026-07-10,0,167,0,8,0,taxed,Baseball Savant Statcast pitch logs; first pitcher per team/game treated as starter,2026-07-10T17:30:45+00:00
KC,2026,2026-07-10,41,278,3,8,1,taxed,Baseball Savant Statcast pitch logs; first pitcher per team/game treated as starter,2026-07-10T17:30:45+00:00
LAA,2026,2026-07-10,64,199,5,9,1,taxed,Baseball Savant Statcast pitch logs; first pitcher per team/game treated as starter,2026-07-10T17:30:45+00:00
LAD,2026,2026-07-10,0,77,0,6,0,normal,Baseball Savant Statcast pitch logs; first pitcher per team/game treated as starter,2026-07-10T17:30:45+00:00
MIA,2026,2026-07-10,67,217,4,8,0,taxed,Baseball Savant Statcast pitch logs; first pitcher per team/game treated as starter,2026-07-10T17:30:45+00:00
MIL,2026,2026-07-10,67,180,3,7,0,taxed,Baseball Savant Statcast pitch logs; first pitcher per team/game treated as starter,2026-07-10T17:30:45+00:00
MIN,2026,2026-07-10,75,198,3,8,1,taxed,Baseball Savant Statcast pitch logs; first pitcher per team/game treated as starter,2026-07-10T17:30:45+00:00
NYM,2026,2026-07-10,28,289,2,9,0,taxed,Baseball Savant Statcast pitch logs; first pitcher per team/game treated as starter,2026-07-10T17:30:45+00:00
NYY,2026,2026-07-10,108,180,6,8,1,taxed,Baseball Savant Statcast pitch logs; first pitcher per team/game treated as starter,2026-07-10T17:30:45+00:00
PHI,2026,2026-07-10,33,198,2,8,0,taxed,Baseball Savant Statcast pitch logs; first pitcher per team/game treated as starter,2026-07-10T17:30:45+00:00
PIT,2026,2026-07-10,135,222,5,8,1,taxed,Baseball Savant Statcast pitch logs; first pitcher per team/game treated as starter,2026-07-10T17:30:45+00:00
SD,2026,2026-07-10,74,193,4,8,0,taxed,Baseball Savant Statcast pitch logs; first pitcher per team/game treated as starter,2026-07-10T17:30:45+00:00
SEA,2026,2026-07-10,41,124,2,7,0,taxed,Baseball Savant Statcast pitch logs; first pitcher per team/game treated as starter,2026-07-10T17:30:45+00:00
SF,2026,2026-07-10,42,186,3,6,0,taxed,Baseball Savant Statcast pitch logs; first pitcher per team/game treated as starter,2026-07-10T17:30:45+00:00
STL,2026,2026-07-10,68,324,3,10,1,taxed,Baseball Savant Statcast pitch logs; first pitcher per team/game treated as starter,2026-07-10T17:30:45+00:00
TB,2026,2026-07-10,95,191,5,9,0,taxed,Baseball Savant Statcast pitch logs; first pitcher per team/game treated as starter,2026-07-10T17:30:45+00:00
TEX,2026,2026-07-10,75,210,4,9,0,taxed,Baseball Savant Statcast pitch logs; first pitcher per team/game treated as starter,2026-07-10T17:30:45+00:00
TOR,2026,2026-07-10,0,84,0,5,0,normal,Baseball Savant Statcast pitch logs; first pitcher per team/game treated as starter,2026-07-10T17:30:45+00:00
WSH,2026,2026-07-10,0,105,0,5,0,normal,Baseball Savant Statcast pitch logs; first pitcher per team/game treated as starter,2026-07-10T17:30:45+00:00
