player_id,player_name,team,season,pitches_thrown,out_of_zone_pitches,out_of_zone_swings,out_of_zone_whiffs,zone_pitches,zone_swings,zone_whiffs,chase_rate_generated,out_of_zone_whiff_rate,zone_whiff_rate,called_strike_rate,first_pitch_strike_rate,swinging_strike_rate,chase_k_share_if_available,slider_splitter_change_usage,chase_reliance_score,last_updated
650644,Aaron Civale,ATH,2026,1212,608,188,58,600,378,42,0.309211,0.308511,0.111111,0.184818,0.640127,0.082508,,0.092409,,2026-07-10T17:30:45+00:00
669620,Brady Basso,ATH,2026,80,35,11,5,45,35,2,0.314286,0.454545,0.057143,0.125,0.545455,0.0875,,0.025,,2026-07-10T17:30:45+00:00
621139,Brooks Kriske,ATH,2026,38,22,8,3,16,10,1,0.363636,0.375,0.1,0.184211,0.545455,0.105263,,0.5,,2026-07-10T17:30:45+00:00
666126,Carlos Cortes,ATH,2026,57,35,11,0,22,15,1,0.314286,0.0,0.066667,0.122807,0.666667,0.017544,,0.0,,2026-07-10T17:30:45+00:00
665660,Elvis Alvarado,ATH,2026,396,205,65,25,191,142,35,0.317073,0.384615,0.246479,0.126263,0.566667,0.151515,,0.30303,,2026-07-10T17:30:45+00:00
695611,Gage Jump,ATH,2026,689,343,113,50,342,229,23,0.329446,0.442478,0.100437,0.166909,0.630682,0.105951,,0.38897,,2026-07-10T17:30:45+00:00
664129,Geoff Hartlieb,ATH,2026,129,64,21,8,65,47,7,0.328125,0.380952,0.148936,0.108527,0.589744,0.116279,,0.333333,,2026-07-10T17:30:45+00:00
663687,Hogan Harris,ATH,2026,661,341,77,26,316,202,39,0.225806,0.337662,0.193069,0.173979,0.486842,0.098336,,0.151286,,2026-07-10T17:30:45+00:00
669372,J.T. Ginn,ATH,2026,1376,784,234,104,591,397,57,0.298469,0.444444,0.143577,0.148983,0.548209,0.117006,,0.34811,,2026-07-10T17:30:45+00:00
678022,Jack Perkins,ATH,2026,992,485,168,73,472,306,49,0.346392,0.434524,0.160131,0.164315,0.654762,0.125,,0.502016,,2026-07-10T17:30:45+00:00
682052,Jacob Lopez,ATH,2026,1042,541,133,36,500,323,46,0.245841,0.270677,0.142415,0.162188,0.59144,0.078695,,0.403071,,2026-07-10T17:30:45+00:00
605488,Jeffrey Springs,ATH,2026,1623,869,265,94,754,491,70,0.304948,0.354717,0.142566,0.166359,0.589928,0.101047,,0.545903,,2026-07-10T17:30:45+00:00
683155,Joey Estes,ATH,2026,71,34,11,5,37,26,5,0.323529,0.454545,0.192308,0.140845,0.722222,0.140845,,0.366197,,2026-07-10T17:30:45+00:00
660761,José Suarez,ATH,2026,770,431,141,65,335,231,33,0.327146,0.460993,0.142857,0.141558,0.605128,0.127273,,0.525974,,2026-07-10T17:30:45+00:00
686993,Justin Sterner,ATH,2026,612,317,109,50,291,211,37,0.343849,0.458716,0.175355,0.124183,0.644737,0.142157,,0.305556,,2026-07-10T17:30:45+00:00
695034,Kade Morris,ATH,2026,210,112,28,8,97,69,6,0.25,0.285714,0.086957,0.133333,0.509434,0.066667,,0.371429,,2026-07-10T17:30:45+00:00
665622,Luis Medina,ATH,2026,563,313,73,37,245,157,33,0.233227,0.506849,0.210191,0.181172,0.58156,0.124334,,0.282416,,2026-07-10T17:30:45+00:00
806960,Luis Morales,ATH,2026,212,131,33,8,81,52,3,0.251908,0.242424,0.057692,0.146226,0.472727,0.051887,,0.419811,,2026-07-10T17:30:45+00:00
622663,Luis Severino,ATH,2026,1010,522,167,53,488,317,40,0.319923,0.317365,0.126183,0.159406,0.596078,0.092079,,0.342574,,2026-07-10T17:30:45+00:00
643410,Mark Leiter Jr.,ATH,2026,450,246,88,44,203,122,18,0.357724,0.5,0.147541,0.18,0.633333,0.137778,,0.342222,,2026-07-10T17:30:45+00:00
686930,Mason Barnett,ATH,2026,364,191,53,23,169,106,10,0.277487,0.433962,0.09434,0.175824,0.60241,0.090659,,0.453297,,2026-07-10T17:30:45+00:00
547184,Michael Kelly,ATH,2026,121,50,8,4,71,46,7,0.16,0.5,0.152174,0.206612,0.59375,0.090909,,0.68595,,2026-07-10T17:30:45+00:00
605130,Scott Barlow,ATH,2026,512,298,90,46,206,124,16,0.302013,0.511111,0.129032,0.169922,0.560606,0.121094,,0.386719,,2026-07-10T17:30:45+00:00
607481,Aaron Bummer,ATL,2026,284,146,40,20,137,90,9,0.273973,0.5,0.1,0.165493,0.623377,0.102113,,0.183099,,2026-07-10T17:30:45+00:00
683627,Anthony Molina,ATL,2026,88,53,19,4,35,22,3,0.358491,0.210526,0.136364,0.159091,0.666667,0.079545,,0.363636,,2026-07-10T17:30:45+00:00
693821,Bryce Elder,ATL,2026,1441,758,225,88,682,461,47,0.296834,0.391111,0.101952,0.159611,0.639903,0.093685,,0.357391,,2026-07-10T17:30:45+00:00
471911,Carlos Carrasco,ATL,2026,219,123,48,17,96,73,4,0.390244,0.354167,0.054795,0.123288,0.57377,0.09589,,0.452055,,2026-07-10T17:30:45+00:00
519242,Chris Sale,ATL,2026,1485,758,264,115,727,474,86,0.348285,0.435606,0.181435,0.175084,0.637566,0.135354,,0.514478,,2026-07-10T17:30:45+00:00
671162,Connor Thomas,ATL,2026,60,31,8,2,29,23,3,0.258065,0.25,0.130435,0.083333,0.764706,0.083333,,0.366667,,2026-07-10T17:30:45+00:00
664849,Danny Young,ATL,2026,32,20,4,2,12,4,0,0.2,0.5,0.0,0.28125,0.625,0.0625,,0.4375,,2026-07-10T17:30:45+00:00
800311,Didier Fuentes,ATL,2026,560,283,85,35,276,198,35,0.300353,0.411765,0.176768,0.142857,0.606061,0.125,,0.316071,,2026-07-10T17:30:45+00:00
689266,Dylan Dodd,ATL,2026,367,194,58,24,169,125,21,0.298969,0.413793,0.168,0.128065,0.629213,0.122616,,0.070845,,2026-07-10T17:30:45+00:00
669276,Dylan Lee,ATL,2026,496,242,95,54,254,185,36,0.392562,0.568421,0.194595,0.141129,0.650794,0.181452,,0.693548,,2026-07-10T17:30:45+00:00
656550,Grant Holmes,ATL,2026,1388,752,241,116,633,428,53,0.320479,0.481328,0.123832,0.146254,0.581267,0.121758,,0.422911,,2026-07-10T17:30:45+00:00
694462,Hurston Waldrep,ATL,2026,215,123,26,13,92,60,6,0.211382,0.5,0.1,0.15814,0.607143,0.088372,,0.334884,,2026-07-10T17:30:45+00:00
641656,Ian Hamilton,ATL,2026,78,42,12,5,36,22,0,0.285714,0.416667,0.0,0.217949,0.65,0.064103,,0.589744,,2026-07-10T17:30:45+00:00
702275,JR Ritchie,ATL,2026,666,373,96,41,289,176,19,0.257373,0.427083,0.107955,0.160661,0.508671,0.09009,,0.247748,,2026-07-10T17:30:45+00:00
675916,James Karinchak,ATL,2026,132,67,15,6,65,38,7,0.223881,0.4,0.184211,0.189394,0.433333,0.098485,,0.0,,2026-07-10T17:30:45+00:00
606303,Joel Payamps,ATL,2026,144,74,19,9,70,48,6,0.256757,0.473684,0.125,0.152778,0.628571,0.104167,,0.493056,,2026-07-10T17:30:45+00:00
622761,Jorge Mateo,ATL,2026,31,17,4,0,14,12,1,0.235294,0.0,0.083333,0.096774,0.4,0.032258,,0.0,,2026-07-10T17:30:45+00:00
527048,Martín Pérez,ATL,2026,1205,646,169,59,557,346,48,0.26161,0.349112,0.138728,0.182573,0.610932,0.088797,,0.307884,,2026-07-10T17:30:45+00:00
702566,Owen Murphy,ATL,2026,20,10,5,3,10,8,0,0.5,0.6,0.0,0.1,0.6,0.15,,0.05,,2026-07-10T17:30:45+00:00
628452,Raisel Iglesias,ATL,2026,432,207,78,31,224,146,26,0.376812,0.397436,0.178082,0.180556,0.690909,0.131944,,0.393519,,2026-07-10T17:30:45+00:00
625643,Reynaldo López,ATL,2026,931,496,135,55,433,283,29,0.272177,0.407407,0.102473,0.168636,0.577093,0.090226,,0.334049,,2026-07-10T17:30:45+00:00
663158,Robert Suarez,ATL,2026,409,229,84,32,180,129,17,0.366812,0.380952,0.131783,0.124694,0.627451,0.119804,,0.303178,,2026-07-10T17:30:45+00:00
691548,Rolddy Muñoz,ATL,2026,49,25,5,2,24,16,5,0.2,0.4,0.3125,0.183673,0.75,0.142857,,0.632653,,2026-07-10T17:30:45+00:00
675911,Spencer Strider,ATL,2026,691,380,109,55,311,213,29,0.286842,0.504587,0.13615,0.151954,0.584337,0.121563,,0.379161,,2026-07-10T17:30:45+00:00
641755,Tyler Kinley,ATL,2026,443,231,63,31,212,142,26,0.272727,0.492063,0.183099,0.176072,0.5625,0.128668,,0.670429,,2026-07-10T17:30:45+00:00
